date,user_id,event_name,mobile_os_type,version
12/30/2019,6bcbabd60e6a2e43af4902daf04965c2,push_received,U683CL,11.3.1
12/31/2019,313e76b3dbb52b6ce23e9909d2248cbe,push_received,U683CL,11.3.1
12/31/2019,69a8b09b5672fcc5f517897fb3873b00,push_received,U683CL,11.3.1
12/31/2019,68413224fbfb9aa338243aeda0a6b37f,push_received,U683CL,11.3.1
12/30/2019,a79f93465f558f433e551a75016c5044,push_received,U683CL,11.3.1
12/31/2019,0741d2813527501f6c9fd2c66bd59c0e,top_news_swipe,U683CL,11.3.1
12/31/2019,60bdc185db190376b44373334067ef8c,user_engagement,U683CL,11.3.1
12/31/2019,dd5685025753dcccbd616af30809db16,headlines_navigate,U683CL,11.3.1
12/31/2019,5c6847d74bbb6b2accf3ca89058ebcf9,user_engagement,U683CL,11.3.1
12/30/2019,c69968c0d802cd06ad85633a89064ea9,push_received,U683CL,11.3.1
12/30/2019,ad32a2073e48423c2cd7ff3da30065d8,push_received,U683CL,11.3.1
12/30/2019,a7fe6b322bde1888874afb73f128f341,push_received,U683CL,11.3.1
12/30/2019,7df88314dc96429d7f8af2ba3b7a7439,screen_view,U683CL,11.3.1
12/30/2019,d41a7e9662a4cb08a3780f47212435f5,push_received,L51,11.3.1
12/30/2019,ba0670e021fdb52ece73581ffadd9cb1,push_received,U683CL,11.3.1
12/30/2019,a6182f6879cb1841d0ba3ff4b0c8bcb4,push_received,U683CL,11.3.1
12/31/2019,03c35c54e3dc5e9a56f9017f61d2e711,push_received,U683CL,11.3.1
12/31/2019,324f3e0ba5827c9f45c7dabe0d782ba1,session_start,U683CL,11.3.1
12/30/2019,b0895ec7104815058531ed4620b9123d,push_received,L51,11.3.1
12/31/2019,38bf7f6dd99ec588d65e8ff21943471c,push_received,U683CL,11.3.1
12/31/2019,e431ff9b39e91b971785fa3a2ebd4620,push_received,U683CL,11.3.1
12/31/2019,3b59a91af051f7e4319adc3c25e2b38c,push_received,U683CL,11.3.1
12/31/2019,992b8b9c1e6a063e4ae8b9e96a7f9eea,user_engagement,L51,11.3.1
12/30/2019,22b33386e112f77346dd19570f749811,push_received,U683CL,11.3.1
